proyecto_id,fecha_inicio,pais_id,pais,provincia_id,provincia_de_ejecución,moneda_monto_financiado,monto_financiado,moneda_monto_total,monto_total,region_de_ejecucion,gran_area_conocimiento,tipo_proyecto_cyt,tipo_organizacion_ejec
8150,2008-08-28,ARG,Argentina,82,Santa Fe,ARS, 118655,ARS, 258030,Pampeana,,Tecnología e Innovación,Empresa
8152,2008-01-09,ARG,Argentina,14,Córdoba,ARS, 333927,ARS, 695670,Pampeana,,Tecnología e Innovación,Empresa
8156,2008-07-02,ARG,Argentina,02,CABA,ARS, 93600,ARS, 197441,Pampeana,,Tecnología e Innovación,Empresa
8158,2008-11-05,ARG,Argentina,14,Córdoba,ARS, 374100,ARS, 1070674,Pampeana,,Tecnología e Innovación,Empresa
8159,2009-02-05,ARG,Argentina,82,Santa Fe,ARS, 450065,ARS, 1618507,Pampeana,,Tecnología e Innovación,Empresa
8161,2008-06-30,ARG,Argentina,02,CABA,ARS, 497699,ARS, 1145979,Pampeana,,Tecnología e Innovación,Empresa
8169,2008-01-15,ARG,Argentina,30,Entre Ríos,ARS, 93000,ARS, 186229,Pampeana,,Tecnología e Innovación,Empresa
8171,2008-06-24,ARG,Argentina,02,CABA,ARS, 161140,ARS, 323360,Pampeana,,Tecnología e Innovación,Empresa
8174,2008-09-09,ARG,Argentina,82,Santa Fe,ARS, 72283,ARS, 155568,Pampeana,,Tecnología e Innovación,Empresa
8175,2008-07-14,ARG,Argentina,82,Santa Fe,ARS, 122156,ARS, 302640,Pampeana,,Tecnología e Innovación,Empresa
8178,2008-01-31,ARG,Argentina,14,Córdoba,ARS, 115988,ARS, 232269,Pampeana,,Tecnología e Innovación,Persona física
8179,2008-09-24,ARG,Argentina,82,Santa Fe,ARS, 47750,ARS, 96955,Pampeana,,Tecnología e Innovación,Empresa
8181,2008-06-24,ARG,Argentina,82,Santa Fe,ARS, 103680,ARS, 261156,Pampeana,,Tecnología e Innovación,Empresa
8182,2008-06-18,ARG,Argentina,82,Santa Fe,ARS, 189496,ARS, 412136,Pampeana,,Tecnología e Innovación,Empresa
8184,2008-01-31,ARG,Argentina,82,Santa Fe,ARS, 66090,ARS, 132242,Pampeana,,Tecnología e Innovación,Empresa
8186,2008-06-25,ARG,Argentina,82,Santa Fe,ARS, 95370,ARS, 207732,Pampeana,,Tecnología e Innovación,Empresa
8190,2008-05-13,ARG,Argentina,14,Córdoba,ARS, 247189,ARS, 527815,Pampeana,,Tecnología e Innovación,Empresa
8191,2008-12-17,ARG,Argentina,06,Buenos Aires,ARS, 118580,ARS, 257174,Pampeana,,Tecnología e Innovación,Empresa
8192,2008-07-11,ARG,Argentina,50,Mendoza,ARS, 75388,ARS, 157916,Cuyo,,Tecnología e Innovación,Empresa
8194,2008-06-30,ARG,Argentina,82,Santa Fe,ARS, 147610,ARS, 393054,Pampeana,,Tecnología e Innovación,Empresa
8200,2008-04-17,ARG,Argentina,82,Santa Fe,ARS, 83240,ARS, 247361,Pampeana,,Tecnología e Innovación,Empresa
