proyecto_id,empresa,pais_id,pais,provincia_id,provincia,tipo_de_proyecto,fecha_inicio
13177,LAHARRAGUE CHODORGE S.A.,ARG,Argentina,54,Misiones,Tecnología e Innovación,2012-11-27
12871,LAHARRAGUE CHODORGE S.A.,ARG,Argentina,54,Misiones,Tecnología e Innovación,2013-11-07
7337,LAINCO SOFTWARE S.A.,ARG,Argentina,02,CABA,Tecnología e Innovación,2010-06-04
7698,LAINCO SOFTWARE S.A.,ARG,Argentina,02,CABA,Tecnología e Innovación,2012-05-11
6172,LAMBDA SISTEMAS S.R.L.,ARG,Argentina,02,CABA,Tecnología e Innovación,2009-06-30
6021,LAMBDA SISTEMAS S.R.L.,ARG,Argentina,02,CABA,Tecnología e Innovación,2012-10-17
6352,LAMBDA SISTEMAS S.R.L.,ARG,Argentina,02,CABA,Tecnología e Innovación,2013-01-17
6070,LAMBDA SISTEMAS S.R.L.,ARG,Argentina,02,CABA,Tecnología e Innovación,2013-05-16
6955,LAMBDA SISTEMAS S.R.L.,ARG,Argentina,02,CABA,Tecnología e Innovación,2015-12-09
10317,LAMINADOS REFORZADOS S.A.,ARG,Argentina,06,Buenos Aires,Tecnología e Innovación,2013-02-21
113,LAMMOVIL S.A.,ARG,Argentina,14,Córdoba,Tecnología e Innovación,2011-07-04
7370,LAMMOVIL S.A.,ARG,Argentina,14,Córdoba,Tecnología e Innovación,2012-05-30
7987,LAMMOVIL S.A.,ARG,Argentina,14,Córdoba,Tecnología e Innovación,2015-08-06
11259,LANNOT S.A.,ARG,Argentina,02,CABA,Tecnología e Innovación,2015-08-06
13271,LAOF S.A.,ARG,Argentina,06,Buenos Aires,Tecnología e Innovación,2012-10-24
103,LARING S.A.,ARG,Argentina,02,CABA,Tecnología e Innovación,2011-06-28
11005,LARING S.A.,ARG,Argentina,02,CABA,Tecnología e Innovación,2015-04-14
10428,LARING SAN LUIS SA,ARG,Argentina,74,San Luis,Tecnología e Innovación,2010-12-28
28,LARING SAN LUIS SA,ARG,Argentina,74,San Luis,Tecnología e Innovación,2015-07-02
12405,LAS TAPERITAS S.A.,ARG,Argentina,82,Santa Fe,Tecnología e Innovación,2010-05-13
12263,LAS TREINTA S.A.,ARG,Argentina,54,Misiones,Tecnología e Innovación,2009-03-30
10067,LAS TREINTA S.A.,ARG,Argentina,54,Misiones,Tecnología e Innovación,2009-04-20
13156,LATAM  AGRO  S.A.,ARG,Argentina,30,Entre Ríos,Tecnología e Innovación,2012-09-25
11903,LATAM  AGRO  S.A.,ARG,Argentina,30,Entre Ríos,Tecnología e Innovación,2014-01-14
5839,LATIN CONTROL SOFTWARE S.A.,ARG,Argentina,02,CABA,Tecnología e Innovación,2009-06-24
6143,LATIN CONTROL SOFTWARE S.A.,ARG,Argentina,02,CABA,Tecnología e Innovación,2009-06-24
6228,LATIN SAB S.R.L,ARG,Argentina,02,CABA,Tecnología e Innovación,2007-09-11
8044,LATINER,ARG,Argentina,02,CABA,Tecnología e Innovación,2014-07-15
11001,LATINER,ARG,Argentina,02,CABA,Tecnología e Innovación,2014-07-15
10884,LATINER,ARG,Argentina,02,CABA,Tecnología e Innovación,2014-07-15
6407,LATINSYS S.A.,ARG,Argentina,02,CABA,Tecnología e Innovación,2010-12-20
11318,LATTINA S.R.L.,ARG,Argentina,82,Santa Fe,Tecnología e Innovación,2015-04-24
12206,LAUDA TEXTIL  S.A.,ARG,Argentina,02,CABA,Tecnología e Innovación,2008-05-30
12332,LAUDA TEXTIL  S.A.,ARG,Argentina,02,CABA,Tecnología e Innovación,2009-08-13
11218,LAWIGOM S.A.,ARG,Argentina,06,Buenos Aires,Tecnología e Innovación,2012-12-07
6541,LEARSOFT S.R.L.,ARG,Argentina,02,CABA,Tecnología e Innovación,2012-10-09
6892,LEARSOFT S.R.L.,ARG,Argentina,02,CABA,Tecnología e Innovación,2014-07-10
6891,LEARSOFT S.R.L.,ARG,Argentina,02,CABA,Tecnología e Innovación,2015-03-16
12503,LEISTUNG INGENIERIA SRL,ARG,Argentina,14,Córdoba,Tecnología e Innovación,2011-03-11
10312,LEISTUNG INGENIERIA SRL,ARG,Argentina,14,Córdoba,Tecnología e Innovación,2012-05-08
8610,LEISTUNG INGENIERIA SRL,ARG,Argentina,14,Córdoba,Tecnología e Innovación,2014-04-30
6789,LEMONDATA S.A.,ARG,Argentina,02,CABA,Tecnología e Innovación,2014-05-12
8261,LEMPERT S.A.,ARG,Argentina,14,Córdoba,Tecnología e Innovación,2007-10-31
5939,LEMPERT S.A.,ARG,Argentina,14,Córdoba,Tecnología e Innovación,2012-04-12
11011,LEMPERT S.A.,ARG,Argentina,14,Córdoba,Tecnología e Innovación,2014-09-15
12136,LENOR SRL,ARG,Argentina,02,CABA,Tecnología e Innovación,2008-07-18
12483,LENOR SRL,ARG,Argentina,02,CABA,Tecnología e Innovación,2011-03-23
8884,LENOR SRL,ARG,Argentina,02,CABA,Tecnología e Innovación,2013-02-26
8785,LETIS SA,ARG,Argentina,82,Santa Fe,Tecnología e Innovación,2011-11-16
6332,LEVIN SOFTWARE S.A.,ARG,Argentina,02,CABA,Tecnología e Innovación,2009-10-27
6537,LEVIN SOFTWARE S.A.,ARG,Argentina,02,CABA,Tecnología e Innovación,2012-01-13
13153,LEVIN SOFTWARE S.A.,ARG,Argentina,02,CABA,Tecnología e Innovación,2013-01-24
6518,LEVIN SOFTWARE S.A.,ARG,Argentina,02,CABA,Tecnología e Innovación,2013-09-02
7006,LEVIN SOFTWARE S.A.,ARG,Argentina,02,CABA,Tecnología e Innovación,2016-04-07
9142,LEXEL SRL,ARG,Argentina,02,CABA,Tecnología e Innovación,2007-03-05
